uniqueID,x,y,long,lat,Slope,Aspect,CAC,CEC,CLA,SAN,SIL,WAT,mean.SWI,Hydric,Floodplain,totalPPT,MeanTEMP,direction
12157,641225.7568,563488.7887,-87.5488144839981,41.5576046989189,0,NA,2.510526419,24.02459145,35.7114563,17.97481346,46.31372833,27.35560036,11.32661343,Yes,No,832.7351599,9.939699683,NS
12156,641214.1216,580422.4501,-87.5598292783492,41.7099231375226,0,NA,0,10.58079433,18.3016758,57.55644989,24.14187241,16.58274269,13.03862858,Yes,No,821.7411775,10.18738493,NS
12155,641196.0447,541089.4133,-87.5348672004226,41.3560521003253,3.25190258,315,7.81820631,14.50455189,31.74046707,9.281686783,58.97784805,17.18918419,6.948918343,Yes,No,877.9517285,9.697550741,N
12154,641179.8113,579616.9178,-87.5597221182566,41.7026612309254,0,NA,0,10.58079433,18.3016758,57.55644989,24.14187241,16.58274269,13.15422249,Yes,No,821.7411775,10.18738493,NS
12153,641155.4646,540283.1639,-87.5348379459428,41.3487773361395,0,NA,7.81820631,14.50455189,31.74046707,9.281686783,58.97784805,17.18918419,10.23593235,Yes,No,877.9517285,9.697550741,NS
12152,641153.3642,561848.4638,-87.5486297502118,41.5428128952692,0,NA,0.066454016,26.80353546,37.48272324,14.31572342,48.20155334,25.07353592,10.82866287,Yes,No,844.4627829,9.860772078,NS
12151,641141.5351,578832.9028,-87.559676386304,41.6955908818069,3.06628871,270,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,9.401929855,No,No,821.7411775,10.18738493,W
12150,641114.8844,539476.9145,-87.5348086996695,41.3415025001848,2.424982071,288.4349365,7.81820631,14.50455189,31.74046707,9.281686783,58.97784805,17.18918419,10.17543125,Yes,No,877.9517285,9.697550741,W
12149,641105.8399,578028.8736,-87.5595868407288,41.6883416942215,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,13.15422249,No,No,821.7411775,10.18738493,NS
12148,641075.4783,577216.4827,-87.559428000304,41.6810198036341,0,NA,0.427224636,14.86753941,27.79801941,36.4819603,35.72002029,20.20876312,13.15422249,No,No,821.7411775,10.18738493,NS
12147,641075.3808,538672.7349,-87.534767945161,41.334246735688,3.906438351,78.69006348,8.67615509,15.05678082,33.65574646,12.80410862,53.54014587,19.12693977,6.03117466,Yes,No,882.4423767,9.728327036,E
12146,641057.4095,560247.0418,-87.5487517493807,41.5283594485188,0,NA,0.066454016,26.80353546,37.48272324,14.31572342,48.20155334,25.07353592,11.22539902,Yes,No,844.4627829,9.860772078,NS
12145,641046.2659,587496.7822,-87.5664042645548,41.7734689335987,1.085003257,45,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,8.650595665,No,No,847.3971844,10.07087881,E
12144,641045.9796,576402.2951,-87.5592576998502,41.6736821001702,3.06628871,90,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,9.068110466,No,No,821.7411775,10.18738493,E
12143,641035.8772,537868.5553,-87.5347272003965,41.3269908996491,1.085003257,225,7.81820631,14.50455189,31.74046707,9.281686783,58.97784805,17.18918419,10.07135391,Yes,No,882.4423767,9.728327036,W
12142,641004.7875,586693.6579,-87.5663838002318,41.7662258050315,0,NA,2.373903513,16.20614052,30.54660034,33.09539413,36.35800552,18.63500023,11.65323448,No,No,847.3971844,10.07087881,NS
12141,640999.2779,575619.6893,-87.5593139258532,41.6666200976589,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.41314697,No,No,814.9639215,10.13570844,NS
12140,640996.8162,537060.0566,-87.5346784443297,41.3196963361352,4.465056896,300.9637451,8.67615509,15.05678082,33.65574646,12.80410862,53.54014587,19.12693977,6.359618187,Yes,No,882.4423767,9.728327036,W
12139,640992.473,558619.8579,-87.5484863999051,41.5136888970446,2.424982071,161.5650482,0.06383834,4.012608528,4.906382561,88.08109283,7.012526989,13.75408173,11.06328678,Yes,No,844.4627829,9.860772078,S
12138,640963.0267,585886.4563,-87.5663640990441,41.7589458036609,0,NA,2.373903513,16.20614052,30.54660034,33.09539413,36.35800552,18.63500023,11.65323448,No,No,847.3971844,10.07087881,NS
12137,640957.7552,536251.5579,-87.5346296999793,41.3124017001156,1.085003257,225,1.717171669,24.89182663,36.17909241,8.447102547,55.37380219,20.45595932,8.30999279,Yes,No,882.4423767,9.728327036,W
12136,640953.0029,574815.5892,-87.5593511990711,41.6593648960107,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.41314697,No,No,814.9639215,10.13570844,NS
12135,640924.8838,535456.4402,-87.5345157368934,41.3052303850584,3.427397728,153.4349518,7.81820631,14.50455189,31.74046707,9.281686783,58.97784805,17.18918419,6.637639046,Yes,No,882.4423767,9.728327036,S
12134,640921.2666,585079.262,-87.5663443989281,41.7516658018498,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.25649738,No,No,838.025102,10.15207648,NS
12133,640910.7628,574010.1358,-87.5593392484788,41.6520994023184,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.80988407,No,No,814.9639215,10.13570844,NS
12132,640910.0771,557009.7965,-87.5484407995492,41.4991637016212,0,NA,0.066454016,26.80353546,37.48272324,14.31572342,48.20155334,25.07353592,11.22539902,Yes,No,854.019881,9.779198893,NS
12131,640892.0125,534661.3225,-87.5344017995326,41.2980589996901,2.424982071,161.5650482,1.717171669,24.89182663,36.17909241,8.447102547,55.37380219,20.45595932,6.526174068,Yes,No,882.4423767,9.728327036,S
12130,640885.4232,584273.1465,-87.5662544000176,41.7443982974661,3.427397728,243.4349518,2.373903513,16.20614052,30.54660034,33.09539413,36.35800552,18.63500023,7.421825409,No,No,838.025102,10.15207648,W
12129,640881.7877,552395.1471,-87.545827618924,41.4576311347023,0,NA,11.33545876,12.28627205,33.38442612,14.16725445,52.44831848,17.16783524,9.584036827,Yes,No,862.0381954,9.696087673,NS
12128,640868.9511,573203.7988,-87.5593216002353,41.6448260997703,0,NA,1.206301606,20.96944404,38.65278526,21.17956143,40.16765432,15.12139389,12.37101269,No,No,814.9639215,10.13570844,NS
12127,640849.5822,583467.0392,-87.5661643993116,41.737130801524,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,6.05663538,No,No,838.025102,10.15207648,NS
12126,640848.3073,555387.9018,-87.5481411999031,41.4845416986507,0,NA,8.67615509,15.09303188,33.65574646,12.80410862,53.54014587,19.12693977,10.56962299,Yes,No,854.019881,9.779198893,NS
12125,640838.7734,582662.6023,-87.5657751869731,41.7298903672776,2.424982071,288.4349365,2.373903513,16.20614052,30.54660034,33.09539413,36.35800552,18.63500023,7.371195316,No,No,838.025102,10.15207648,W
12124,640821.8417,572388.7365,-87.5593618050747,41.6374716849065,12.09400272,270,3.331095695,8.383620262,9.846133232,71.85391998,18.29994583,24.78612137,5.75471735,Yes,No,814.9639215,10.13570844,W
12123,640803.848,550785.0549,-87.545729470257,41.4431067291611,0,NA,1.315789461,29.49605179,38.46710587,6.368421078,55.16447449,24.86000061,10.5805006,Yes,No,862.0381954,9.696087673,NS
12122,640800.8201,581841.1388,-87.5657007009488,41.7224835991931,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.36805916,Yes,No,838.025102,10.15207648,NS
12121,640774.7323,571573.6741,-87.5594020000537,41.630117199694,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.80988407,No,No,814.9639215,10.13570844,NS
